Date,Time,time_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
9/13/2017,12:52:22,42991.54,0.059,0.055,0.06,0.049,0.076,0.054,0.074,0.05,0.09,0.064,0.041,0.068,0.057,0.058,0.082
9/13/2017,13:12:22,42991.55,0.059,0.055,0.06,0.049,0.076,0.054,0.074,0.05,0.089,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,13:32:22,42991.56,0.059,0.055,0.06,0.049,0.076,0.054,0.074,0.05,0.089,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,13:52:22,42991.58,0.059,0.055,0.06,0.049,0.076,0.054,0.074,0.05,0.089,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,14:12:22,42991.59,0.059,0.056,0.06,0.049,0.076,0.054,0.074,0.05,0.089,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,14:32:22,42991.61,0.059,0.056,0.059,0.05,0.076,0.054,0.074,0.05,0.088,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,14:52:22,42991.62,0.059,0.056,0.06,0.049,0.076,0.054,0.074,0.051,0.088,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,15:12:22,42991.63,0.059,0.056,0.06,0.05,0.076,0.054,0.074,0.051,0.088,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,15:32:22,42991.65,0.059,0.056,0.06,0.05,0.076,0.054,0.074,0.052,0.087,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,15:52:22,42991.66,0.059,0.056,0.06,0.05,0.076,0.054,0.074,0.052,0.087,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,16:12:22,42991.68,0.059,0.056,0.059,0.05,0.076,0.055,0.074,0.053,0.087,0.064,0.04,0.068,0.057,0.058,0.082
9/13/2017,16:32:22,42991.69,0.059,0.056,0.059,0.05,0.077,0.055,0.074,0.053,0.087,0.064,0.041,0.068,0.057,0.059,0.082
9/13/2017,16:52:22,42991.70,0.059,0.056,0.059,0.05,0.077,0.055,0.074,0.053,0.087,0.064,0.041,0.068,0.057,0.059,0.083
9/13/2017,17:12:22,42991.72,0.059,0.056,0.059,0.05,0.077,0.055,0.074,0.053,0.087,0.063,0.041,0.068,0.058,0.059,0.083
9/13/2017,17:32:22,42991.73,0.059,0.056,0.059,0.051,0.077,0.055,0.074,0.054,0.087,0.063,0.041,0.069,0.057,0.059,0.083
9/13/2017,17:52:22,42991.74,0.059,0.056,0.059,0.051,0.078,0.055,0.074,0.054,0.087,0.063,0.041,0.069,0.057,0.059,0.083
9/13/2017,18:12:22,42991.76,0.059,0.056,0.059,0.051,0.078,0.055,0.074,0.055,0.087,0.063,0.041,0.069,0.057,0.059,0.084
9/13/2017,18:32:22,42991.77,0.059,0.056,0.059,0.051,0.078,0.055,0.074,0.055,0.087,0.063,0.042,0.069,0.057,0.059,0.084
9/13/2017,18:52:22,42991.79,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.088,0.063,0.042,0.069,0.057,0.059,0.084
9/13/2017,19:12:22,42991.80,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.087,0.063,0.042,0.069,0.056,0.059,0.084
9/13/2017,19:32:22,42991.81,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.087,0.063,0.042,0.069,0.056,0.059,0.084
9/13/2017,19:52:22,42991.83,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.087,0.063,0.042,0.069,0.055,0.059,0.084
9/13/2017,20:12:22,42991.84,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.087,0.063,0.042,0.069,0.055,0.059,0.084
9/13/2017,20:32:22,42991.86,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.087,0.062,0.042,0.069,0.055,0.059,0.084
9/13/2017,20:52:22,42991.87,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.056,0.087,0.062,0.042,0.069,0.054,0.059,0.084
9/13/2017,21:12:22,42991.88,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.057,0.088,0.062,0.042,0.069,0.055,0.059,0.084
9/13/2017,21:32:22,42991.90,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.057,0.088,0.062,0.042,0.069,0.055,0.059,0.084
9/13/2017,21:52:22,42991.91,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.057,0.088,0.062,0.042,0.069,0.055,0.059,0.084
9/13/2017,22:12:22,42991.93,0.06,0.056,0.059,0.051,0.078,0.056,0.074,0.057,0.088,0.062,0.042,0.069,0.055,0.059,0.084
9/13/2017,22:32:22,42991.94,0.06,0.056,0.059,0.05,0.079,0.056,0.074,0.057,0.088,0.061,0.042,0.069,0.056,0.059,0.085
9/13/2017,22:52:22,42991.95,0.06,0.056,0.059,0.049,0.079,0.056,0.074,0.057,0.088,0.061,0.042,0.069,0.056,0.059,0.085
9/13/2017,23:12:22,42991.97,0.06,0.056,0.059,0.049,0.079,0.056,0.074,0.057,0.088,0.061,0.042,0.069,0.056,0.06,0.085
9/13/2017,23:32:22,42991.98,0.061,0.056,0.06,0.049,0.079,0.056,0.074,0.057,0.088,0.061,0.042,0.069,0.056,0.06,0.085
9/13/2017,23:52:22,42991.99,0.061,0.056,0.06,0.05,0.079,0.056,0.074,0.057,0.088,0.061,0.042,0.069,0.056,0.06,0.085
9/14/2017,0:12:22,42992.01,0.061,0.056,0.06,0.051,0.079,0.056,0.074,0.057,0.09,0.061,0.042,0.07,0.056,0.06,0.085
9/14/2017,0:32:22,42992.02,0.061,0.056,0.06,0.053,0.079,0.057,0.075,0.057,0.091,0.061,0.043,0.07,0.056,0.06,0.085
9/14/2017,0:52:22,42992.04,0.061,0.056,0.06,0.053,0.079,0.057,0.075,0.057,0.091,0.061,0.043,0.07,0.056,0.06,0.085
9/14/2017,1:12:22,42992.05,0.061,0.056,0.06,0.053,0.079,0.057,0.075,0.057,0.091,0.061,0.043,0.07,0.056,0.06,0.085
9/14/2017,1:32:22,42992.06,0.061,0.057,0.06,0.053,0.079,0.057,0.075,0.058,0.091,0.06,0.043,0.07,0.056,0.06,0.085
9/14/2017,1:52:22,42992.08,0.061,0.057,0.06,0.052,0.079,0.057,0.075,0.058,0.091,0.06,0.043,0.07,0.056,0.06,0.085
