Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
8/2/2017,13:52:22,0.001,0.01,0.037,0.089,0.024,0.024,0.029,0.049,0.032,0.007,0.01,0.021,0.018,0.004,0.012,0
8/2/2017,14:12:22,0.001,0.01,0.037,0.089,0.024,0.024,0.029,0.049,0.032,0.006,0.01,0.022,0.018,0.004,0.012,0
8/2/2017,14:32:22,0.001,0.01,0.036,0.089,0.024,0.025,0.029,0.049,0.032,0.006,0.01,0.022,0.018,0.004,0.012,0
8/2/2017,14:52:22,0.001,0.01,0.036,0.089,0.024,0.025,0.029,0.049,0.032,0.006,0.01,0.022,0.018,0.004,0.012,0
8/2/2017,15:12:22,0.001,0.01,0.036,0.089,0.024,0.025,0.029,0.049,0.032,0.005,0.01,0.022,0.018,0.004,0.012,0
8/2/2017,15:32:22,0.001,0.01,0.036,0.09,0.024,0.025,0.029,0.049,0.032,0.006,0.01,0.022,0.018,0.004,0.012,0
8/2/2017,15:52:22,0.001,0.01,0.035,0.09,0.024,0.025,0.029,0.049,0.032,0.005,0.01,0.021,0.018,0.004,0.012,0
8/2/2017,16:12:22,0.001,0.01,0.035,0.09,0.023,0.025,0.029,0.049,0.033,0.005,0.01,0.021,0.018,0.003,0.012,0
8/2/2017,16:32:22,0.001,0.01,0.035,0.09,0.023,0.025,0.029,0.049,0.033,0.005,0.01,0.021,0.018,0.003,0.012,0
8/2/2017,16:52:22,0.001,0.01,0.035,0.09,0.023,0.025,0.029,0.049,0.032,0.005,0.009,0.021,0.018,0.003,0.012,0
8/2/2017,17:12:22,0.001,0.01,0.035,0.09,0.023,0.025,0.029,0.049,0.032,0.005,0.009,0.021,0.017,0.003,0.012,0
8/2/2017,17:32:22,0.001,0.01,0.035,0.09,0.023,0.025,0.029,0.049,0.032,0.005,0.009,0.021,0.017,0.003,0.011,0
8/2/2017,17:52:22,0.001,0.01,0.035,0.09,0.023,0.025,0.029,0.05,0.032,0.005,0.009,0.021,0.018,0.003,0.011,0
8/2/2017,18:12:22,0.001,0.01,0.034,0.09,0.023,0.024,0.029,0.05,0.032,0.005,0.009,0.021,0.017,0.003,0.011,0
8/2/2017,18:32:22,0.001,0.01,0.034,0.09,0.023,0.025,0.029,0.05,0.032,0.005,0.009,0.021,0.017,0.003,0.011,0
8/2/2017,18:52:22,0.001,0.01,0.034,0.09,0.022,0.024,0.029,0.05,0.032,0.005,0.009,0.021,0.017,0.003,0.011,0
8/2/2017,19:12:22,0.001,0.01,0.034,0.09,0.023,0.024,0.029,0.05,0.032,0.005,0.009,0.021,0.017,0.003,0.011,0
8/2/2017,19:32:22,0.001,0.01,0.034,0.09,0.022,0.024,0.029,0.05,0.032,0.005,0.009,0.021,0.016,0.002,0.011,0
8/2/2017,19:52:22,0.001,0.01,0.034,0.091,0.022,0.024,0.029,0.05,0.032,0.005,0.009,0.021,0.016,0.002,0.011,0
8/2/2017,20:12:22,0.001,0.01,0.033,0.091,0.022,0.024,0.029,0.05,0.032,0.005,0.009,0.02,0.016,0.002,0.011,0
8/2/2017,20:32:22,0.001,0.01,0.033,0.091,0.021,0.024,0.029,0.05,0.031,0.005,0.009,0.02,0.016,0.002,0.011,0
8/2/2017,20:52:22,0.001,0.01,0.033,0.092,0.021,0.024,0.028,0.05,0.031,0.004,0.009,0.02,0.016,0.002,0.011,0
8/2/2017,21:12:22,0.001,0.01,0.033,0.092,0.021,0.024,0.028,0.05,0.031,0.004,0.009,0.02,0.016,0.002,0.011,0
8/2/2017,21:32:22,0.001,0.01,0.032,0.092,0.021,0.024,0.028,0.05,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
8/2/2017,21:52:22,0.001,0.01,0.032,0.092,0.021,0.024,0.028,0.049,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
8/2/2017,22:12:22,0.001,0.01,0.032,0.093,0.021,0.024,0.027,0.049,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
8/2/2017,22:32:22,0.001,0.01,0.032,0.093,0.021,0.024,0.027,0.049,0.031,0.004,0.009,0.02,0.015,0.002,0.011,0
